TXNAME	GENEID	flair.aligned
R1_101_1	R1_101	3
R1_101_2	R1_101	2
R1_102_1	R1_102	2
R1_102_2	R1_102	0
R1_103_1	R1_103	12.069565395542
R1_103_2	R1_103	334.930434604458
R1_11_1	R1_11	133.139953963932
R1_11_2	R1_11	381.860046036068
R1_12_1	R1_12	0
R1_12_2	R1_12	0
R1_13_1	R1_13	37
R1_13_2	R1_13	2
R1_14_1	R1_14	32
R1_21_1	R1_21	0
R1_21_2	R1_21	0
R1_22_1	R1_22	67.8102993827161
R1_22_2	R1_22	22.189700617284
R1_23_1	R1_23	9.99999992549419
R1_23_2	R1_23	0.0000000745058059692383
R1_24_1	R1_24	0
R1_31_1	R1_31	69.9992711370262
R1_31_2	R1_31	14.0007288629738
R1_32_1	R1_32	2.5
R1_32_2	R1_32	2.5
R1_33_1	R1_33	15
R1_33_2	R1_33	4
R1_41_1	R1_41	25.2904025678317
R1_41_2	R1_41	6.70959743216832
R1_42_1	R1_42	0
R1_42_2	R1_42	0
R1_43_1	R1_43	0
R1_43_2	R1_43	0
R1_51_1	R1_51	0
R1_51_2	R1_51	0
R1_52_1	R1_52	0
R1_52_2	R1_52	0
R1_53_1	R1_53	0
R1_61_1	R1_61	0
R1_61_2	R1_61	0
R1_62_1	R1_62	0.00000000939121378830019
R1_62_2	R1_62	0.999999990608786
R1_63_1	R1_63	0
R1_63_2	R1_63	0
R1_71_1	R1_71	0
R1_71_2	R1_71	0
R1_72_1	R1_72	0
R1_72_2	R1_72	0
R1_73_1	R1_73	32.533324375168
R1_73_2	R1_73	28.466675624832
R1_81_1	R1_81	0
R1_81_2	R1_81	0
R1_82_1	R1_82	0
R1_82_2	R1_82	0
R1_83_1	R1_83	0
R1_83_2	R1_83	0
R1_91_1	R1_91	0
R1_91_2	R1_91	0
R1_92_1	R1_92	61.7391139137942
R1_92_2	R1_92	9.26088608620579
R1_93_1	R1_93	0
R1_93_2	R1_93	0
R2_105_1	R2_105	0
R2_115_1	R2_115	0
R2_115_2	R2_115	0
R2_116_1	R2_116	0
R2_116_2	R2_116	0
R2_116_3	R2_116	0
R2_117_1	R2_117	15.400826446281
R2_117_3	R2_117	17.599173553719
R2_140_1	R2_140	0
R2_143_1	R2_143	0
R2_14_1	R2_14	360.020749334774
R2_14_2	R2_14	119.576431028958
R2_14_3	R2_14	54.4028196362675
R2_150_1	R2_150	157.428154935444
R2_150_2	R2_150	234.571845064556
R2_151_1	R2_151	0
R2_151_2	R2_151	0
R2_151_3	R2_151	0
R2_152_1	R2_152	0
R2_152_2	R2_152	0
R2_153_1	R2_153	0
R2_153_2	R2_153	0
R2_153_3	R2_153	0
R2_154_1	R2_154	56
R2_154_2	R2_154	632
R2_19_1	R2_19	1.333984375
R2_19_2	R2_19	2.666015625
R2_1_1	R2_1	0
R2_20_1	R2_20	0
R2_20_2	R2_20	0
R2_24_1	R2_24	0.0000000116152865627094
R2_24_2	R2_24	2.99999998838471
R2_26_1	R2_26	13.7222627205132
R2_26_2	R2_26	24.2777372794868
R2_27_1	R2_27	0.0000000116152865627094
R2_27_2	R2_27	2.99999998838471
R2_28_1	R2_28	3.32134617741448
R2_28_2	R2_28	13.5278467252036
R2_28_3	R2_28	5.15080709738194
R2_32_1	R2_32	6
R2_32_2	R2_32	3
R2_32_3	R2_32	4
R2_33_1	R2_33	0
R2_37_1	R2_37	0
R2_37_2	R2_37	0
R2_37_3	R2_37	0
R2_38_1	R2_38	8.10798469311305
R2_38_2	R2_38	24.0099602132828
R2_38_3	R2_38	32.4319387724438
R2_38_4	R2_38	97.4501163211603
R2_41_1	R2_41	5.12049338489721
R2_41_2	R2_41	79.8795066151028
R2_42_1	R2_42	62
R2_42_2	R2_42	70
R2_42_3	R2_42	57
R2_45_1	R2_45	0.0000000154870487502792
R2_45_2	R2_45	2.99999999225648
R2_45_3	R2_45	0
R2_45_4	R2_45	2.99999999225648
R2_46_1	R2_46	245.935774568138
R2_46_2	R2_46	14
R2_46_3	R2_46	84.0642254318616
R2_47_1	R2_47	0
R2_47_2	R2_47	0
R2_53_1	R2_53	123.333349300167
R2_53_2	R2_53	431.386469595494
R2_53_3	R2_53	7.28018110433847
R2_54_1	R2_54	1
R2_54_2	R2_54	0
R2_55_2	R2_55	1
R2_55_3	R2_55	0
R2_57_1	R2_57	0
R2_57_2	R2_57	0
R2_59_1	R2_59	0
R2_59_2	R2_59	0
R2_59_3	R2_59	0
R2_60_1	R2_60	1
R2_60_2	R2_60	0
R2_63_1	R2_63	0
R2_63_3	R2_63	0
R2_65_1	R2_65	1055
R2_67_1	R2_67	0
R2_68_1	R2_68	0
R2_68_2	R2_68	0
R2_6_1	R2_6	69.8540844401724
R2_6_2	R2_6	17.1459155598276
R2_71_1	R2_71	1
R2_71_2	R2_71	0
R2_72_1	R2_72	421.414479079221
R2_72_2	R2_72	913.722580503806
R2_72_3	R2_72	2550.21736167546
R2_72_4	R2_72	2400.64557874151
R2_73_1	R2_73	0
R2_73_2	R2_73	0
R2_76_1	R2_76	0
R2_76_2	R2_76	0
R2_76_3	R2_76	0
R2_7_1	R2_7	13.4792769160636
R2_7_2	R2_7	141.520723083936
